Structured,Pure,Metric,N_pairs,Mean_diff,Wins,Losses,Ties,W_stat,p_value,Significant_005,Cliffs_delta,Effect_size
Best-DPMM,scDHMap,NMI,12,-0.016916,3,9,0,22.0,0.911865,No,-0.1528,small
Best-DPMM,scDHMap,ARI,12,0.01691,6,6,0,38.0,0.545166,No,-0.0139,negligible
Best-DPMM,scDHMap,ASW,12,0.083278,10,2,0,71.0,0.004639,Yes,0.4583,medium
Best-DPMM,scDHMap,DAV,12,0.1238,9,3,0,67.0,0.013428,Yes,0.4306,medium
Best-DPMM,scDHMap,CAL,12,815.771975,10,2,0,72.0,0.003418,Yes,0.5972,large
Best-DPMM,scDHMap,COR,12,0.729422,8,4,0,57.0,0.088135,No,0.2361,small
Best-DPMM,scDHMap,DRE_umap_overall_quality,12,-0.067479,1,11,0,6.0,0.997559,No,-0.6528,large
Best-DPMM,scDHMap,DRE_umap_distance_correlation,12,-0.097486,1,11,0,6.0,0.997559,No,-0.6944,large
Best-DPMM,scDHMap,DRE_umap_Q_local,12,-0.068182,1,11,0,7.0,0.996582,No,-0.6111,large
Best-DPMM,scDHMap,DRE_umap_Q_global,12,-0.03677,2,10,0,11.0,0.989502,No,-0.5417,large
Best-DPMM,scDHMap,DRE_tsne_overall_quality,12,-0.047093,2,10,0,12.0,0.986572,No,-0.5139,large
Best-DPMM,scDHMap,DRE_tsne_distance_correlation,12,-0.075116,2,10,0,9.0,0.993896,No,-0.5278,large
Best-DPMM,scDHMap,DRE_tsne_Q_local,12,-0.050691,5,7,0,19.0,0.945068,No,-0.4722,medium
Best-DPMM,scDHMap,DRE_tsne_Q_global,12,-0.015473,3,9,0,19.0,0.945068,No,-0.25,small
Best-DPMM,scDHMap,LSE_overall_quality,12,0.022025,6,6,0,45.0,0.338623,No,0.125,negligible
Best-DPMM,scDHMap,LSE_core_quality,12,-0.00305,8,4,0,58.0,0.075684,No,0.4583,medium
Best-DPMM,scDHMap,LSE_manifold_dimensionality,12,-0.090178,3,9,0,14.0,0.97876,No,-0.3889,medium
Best-DPMM,scDHMap,LSE_spectral_decay_rate,12,-0.092613,1,11,0,3.0,0.999268,No,-0.7083,large
Best-DPMM,scDHMap,LSE_participation_ratio,12,0.003995,6,6,0,40.0,0.484863,No,-0.0556,negligible
Best-DPMM,scDHMap,LSE_anisotropy_score,12,-0.166596,3,9,0,13.0,0.98291,No,-0.5417,large
Best-DPMM,scDHMap,LSE_trajectory_directionality,12,0.117426,9,3,0,69.0,0.008057,Yes,0.4306,medium
Best-DPMM,scDHMap,LSE_noise_resilience,12,0.060709,5,6,1,39.0,0.318848,No,0.0139,negligible
Best-DPMM,scDHMap,DREX_overall_quality,12,-0.120198,0,12,0,0.0,1.0,No,-0.9722,large
Best-DPMM,scDHMap,DREX_trustworthiness,12,-0.100883,0,12,0,0.0,1.0,No,-1.0,large
Best-DPMM,scDHMap,DREX_continuity,12,-0.098911,0,12,0,0.0,1.0,No,-1.0,large
Best-DPMM,scDHMap,DREX_distance_spearman,12,-0.153076,1,11,0,2.0,0.999512,No,-0.7361,large
Best-DPMM,scDHMap,DREX_distance_pearson,12,-0.228701,1,11,0,1.0,0.999756,No,-0.8194,large
Best-DPMM,scDHMap,DREX_local_scale_quality,12,-0.03972,0,12,0,0.0,1.0,No,-0.9583,large
Best-DPMM,scDHMap,DREX_neighborhood_symmetry,12,-0.099897,0,12,0,0.0,1.0,No,-1.0,large
Best-DPMM,scDHMap,LSEX_overall_quality,12,0.033945,10,2,0,61.0,0.046143,Yes,0.6667,large
Best-DPMM,scDHMap,LSEX_two_hop_connectivity,12,0.001339,5,7,0,42.0,0.425049,No,0.0417,negligible
Best-DPMM,scDHMap,LSEX_radial_concentration,12,0.106309,10,2,0,58.0,0.075684,No,0.6667,large
Best-DPMM,scDHMap,LSEX_local_curvature,12,0.027939,9,3,0,68.0,0.010498,Yes,0.5694,large
Best-DPMM,scDHMap,LSEX_entropy_stability,12,0.000192,4,8,0,33.0,0.688965,No,0.0556,negligible
Best-DPMM,scDHMap,SecPerEpoch,0,0.0,0,0,0,,,No,-0.0,negligible
Best-DPMM,scDHMap,PeakGPU_MB,0,0.0,0,0,0,,,No,-0.0,negligible
Best-DPMM,scDHMap,NumParams,0,0.0,0,0,0,,,No,-0.0,negligible
Best-DPMM,CLEAR,NMI,12,-0.054657,1,11,0,5.0,0.998291,No,-0.4444,medium
Best-DPMM,CLEAR,ARI,12,-0.019313,4,8,0,28.0,0.809814,No,-0.1944,small
Best-DPMM,CLEAR,ASW,12,0.352201,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,DAV,12,2.161869,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,CAL,12,1116.207911,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,COR,12,-8.29974,0,12,0,0.0,1.0,No,-1.0,large
Best-DPMM,CLEAR,DRE_umap_overall_quality,12,0.183088,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,DRE_umap_distance_correlation,12,0.257652,12,0,0,78.0,0.000244,Yes,0.9861,large
Best-DPMM,CLEAR,DRE_umap_Q_local,12,0.178861,12,0,0,78.0,0.000244,Yes,0.9722,large
Best-DPMM,CLEAR,DRE_umap_Q_global,12,0.112752,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,DRE_tsne_overall_quality,12,0.20182,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,DRE_tsne_distance_correlation,12,0.271385,12,0,0,78.0,0.000244,Yes,0.9861,large
Best-DPMM,CLEAR,DRE_tsne_Q_local,12,0.200349,12,0,0,78.0,0.000244,Yes,0.9722,large
Best-DPMM,CLEAR,DRE_tsne_Q_global,12,0.133727,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,LSE_overall_quality,12,0.215297,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,LSE_core_quality,12,0.056338,11,1,0,77.0,0.000488,Yes,0.9167,large
Best-DPMM,CLEAR,LSE_manifold_dimensionality,12,0.136333,8,4,0,64.0,0.026123,Yes,0.5417,large
Best-DPMM,CLEAR,LSE_spectral_decay_rate,12,0.313994,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,LSE_participation_ratio,12,-0.050635,5,7,0,26.0,0.849365,No,-0.2917,small
Best-DPMM,CLEAR,LSE_anisotropy_score,12,0.174342,10,2,0,62.0,0.038574,Yes,0.625,large
Best-DPMM,CLEAR,LSE_trajectory_directionality,12,0.523272,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,LSE_noise_resilience,12,0.560452,12,0,0,78.0,0.000244,Yes,1.0,large
Best-DPMM,CLEAR,DREX_overall_quality,12,0.048687,10,2,0,73.0,0.002441,Yes,0.4583,medium
