Internal,External,Metric,N_pairs,Mean_diff,Wins,Losses,p_value,Significant_005,Cliffs_delta,Effect_size
DPMM-Base,scDHMap,NMI,12,-0.055026,2,10,0.995361,No,-0.3333,medium
DPMM-Base,scDHMap,ARI,12,-0.005549,6,6,0.545166,No,-0.0833,negligible
DPMM-Base,scDHMap,ASW,12,0.030778,6,6,0.366699,No,-0.1111,negligible
DPMM-Base,scDHMap,DAV,12,0.069837,7,5,0.116699,No,0.125,negligible
DPMM-Base,scDHMap,CAL,12,1116.71515,12,0,0.000244,Yes,0.9306,large
DPMM-Base,scDHMap,COR,12,1.894749,12,0,0.000244,Yes,0.9028,large
DPMM-Base,scDHMap,DRE_umap_overall_quality,12,-0.055583,2,10,0.993896,No,-0.5,large
DPMM-Base,scDHMap,DRE_umap_distance_correlation,12,-0.050337,5,7,0.898193,No,-0.375,medium
DPMM-Base,scDHMap,DRE_umap_Q_local,12,-0.092556,0,12,1.0,No,-0.8056,large
DPMM-Base,scDHMap,DRE_umap_Q_global,12,-0.023856,4,8,0.968018,No,-0.25,small
DPMM-Base,scDHMap,DRE_tsne_overall_quality,12,-0.045167,2,10,0.989502,No,-0.4306,medium
DPMM-Base,scDHMap,DRE_tsne_distance_correlation,12,-0.039204,4,8,0.898193,No,-0.2917,small
DPMM-Base,scDHMap,DRE_tsne_Q_local,12,-0.08732,1,11,0.999756,No,-0.7778,large
DPMM-Base,scDHMap,DRE_tsne_Q_global,12,-0.008977,5,7,0.688965,No,0.0,negligible
DPMM-Base,scDHMap,LSE_overall_quality,12,0.091386,10,2,0.003418,Yes,0.5139,large
DPMM-Base,scDHMap,LSE_core_quality,12,0.004577,8,4,0.101807,No,0.4306,medium
DPMM-Base,scDHMap,LSE_manifold_dimensionality,12,0.005568,7,5,0.311035,No,0.0694,negligible
DPMM-Base,scDHMap,LSE_spectral_decay_rate,12,-0.051753,2,10,0.993896,No,-0.5694,large
DPMM-Base,scDHMap,LSE_participation_ratio,12,-0.047983,4,8,0.968018,No,-0.4306,medium
DPMM-Base,scDHMap,LSE_anisotropy_score,12,-0.112477,3,9,0.98291,No,-0.5278,large
DPMM-Base,scDHMap,LSE_trajectory_directionality,12,0.216343,11,1,0.000488,Yes,0.8194,large
DPMM-Base,scDHMap,LSE_noise_resilience,12,0.292353,8,3,0.012207,Yes,0.5139,large
DPMM-Base,scDHMap,DREX_overall_quality,12,-0.084585,1,11,0.999756,No,-0.8889,large
DPMM-Base,scDHMap,DREX_trustworthiness,12,-0.090957,0,12,1.0,No,-1.0,large
DPMM-Base,scDHMap,DREX_continuity,12,-0.088978,0,12,1.0,No,-1.0,large
DPMM-Base,scDHMap,DREX_distance_spearman,12,-0.055997,4,8,0.953857,No,-0.3611,medium
DPMM-Base,scDHMap,DREX_distance_pearson,12,-0.154425,2,10,0.993896,No,-0.5278,large
DPMM-Base,scDHMap,DREX_local_scale_quality,12,-0.027185,1,11,0.999756,No,-0.9167,large
DPMM-Base,scDHMap,DREX_neighborhood_symmetry,12,-0.089967,0,12,1.0,No,-1.0,large
DPMM-Base,scDHMap,LSEX_overall_quality,12,0.025789,9,3,0.088135,No,0.4028,medium
DPMM-Base,scDHMap,LSEX_two_hop_connectivity,12,0.011665,11,1,0.003418,Yes,0.7222,large
DPMM-Base,scDHMap,LSEX_radial_concentration,12,0.083514,8,4,0.133057,No,0.3611,medium
DPMM-Base,scDHMap,LSEX_local_curvature,12,0.004677,7,5,0.259277,No,0.3333,medium
DPMM-Base,scDHMap,LSEX_entropy_stability,12,0.003301,11,1,0.003418,Yes,0.6389,large
DPMM-Base,scDHMap,SecPerEpoch,0,0.0,0,0,,No,-0.0,negligible
DPMM-Base,scDHMap,PeakGPU_MB,0,0.0,0,0,,No,-0.0,negligible
DPMM-Base,scDHMap,NumParams,0,0.0,0,0,,No,-0.0,negligible
DPMM-Base,CLEAR,NMI,12,-0.092767,1,11,0.998779,No,-0.5278,large
DPMM-Base,CLEAR,ARI,12,-0.041772,4,8,0.809814,No,-0.2639,small
DPMM-Base,CLEAR,ASW,12,0.299701,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,DAV,12,2.107906,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,CAL,12,1417.151086,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,COR,12,-7.134413,0,12,1.0,No,-1.0,large
DPMM-Base,CLEAR,DRE_umap_overall_quality,12,0.194984,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,DRE_umap_distance_correlation,12,0.304801,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,DRE_umap_Q_local,12,0.154487,12,0,0.000244,Yes,0.875,large
DPMM-Base,CLEAR,DRE_umap_Q_global,12,0.125666,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,DRE_tsne_overall_quality,12,0.203746,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,DRE_tsne_distance_correlation,12,0.307297,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,DRE_tsne_Q_local,12,0.16372,12,0,0.000244,Yes,0.9306,large
DPMM-Base,CLEAR,DRE_tsne_Q_global,12,0.140222,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,LSE_overall_quality,12,0.284658,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,LSE_core_quality,12,0.063965,11,1,0.000732,Yes,0.8889,large
DPMM-Base,CLEAR,LSE_manifold_dimensionality,12,0.232079,12,0,0.000244,Yes,0.9722,large
DPMM-Base,CLEAR,LSE_spectral_decay_rate,12,0.354854,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,LSE_participation_ratio,12,-0.102614,2,10,0.995361,No,-0.6111,large
DPMM-Base,CLEAR,LSE_anisotropy_score,12,0.228461,10,2,0.031982,Yes,0.6528,large
DPMM-Base,CLEAR,LSE_trajectory_directionality,12,0.622189,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,LSE_noise_resilience,12,0.792096,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,DREX_overall_quality,12,0.0843,12,0,0.000244,Yes,0.8056,large
DPMM-Base,CLEAR,DREX_trustworthiness,12,-0.01479,2,10,0.989502,No,-0.125,negligible
DPMM-Base,CLEAR,DREX_continuity,12,-0.029017,2,10,0.999268,No,-0.4306,medium
DPMM-Base,CLEAR,DREX_distance_spearman,12,0.301559,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,DREX_distance_pearson,12,0.176319,11,1,0.000488,Yes,0.75,large
DPMM-Base,CLEAR,DREX_local_scale_quality,12,0.093634,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,DREX_neighborhood_symmetry,12,-0.021903,1,11,0.999268,No,-0.2917,small
DPMM-Base,CLEAR,LSEX_overall_quality,12,0.057456,9,3,0.026123,Yes,0.5278,large
DPMM-Base,CLEAR,LSEX_two_hop_connectivity,12,-0.076634,0,12,1.0,No,-1.0,large
DPMM-Base,CLEAR,LSEX_radial_concentration,12,0.23736,9,3,0.013428,Yes,0.5,large
DPMM-Base,CLEAR,LSEX_local_curvature,12,0.075977,12,0,0.000244,Yes,1.0,large
DPMM-Base,CLEAR,LSEX_entropy_stability,12,-0.006878,0,12,1.0,No,-1.0,large
DPMM-Base,CLEAR,SecPerEpoch,0,0.0,0,0,,No,-0.0,negligible
DPMM-Base,CLEAR,PeakGPU_MB,0,0.0,0,0,,No,-0.0,negligible
DPMM-Base,CLEAR,NumParams,0,0.0,0,0,,No,-0.0,negligible
DPMM-Base,scDAC,NMI,12,0.099109,11,1,0.003418,Yes,0.5556,large
DPMM-Base,scDAC,ARI,12,0.109232,10,2,0.004639,Yes,0.5972,large
DPMM-Base,scDAC,ASW,12,-0.162573,1,11,0.999512,No,-0.6944,large
DPMM-Base,scDAC,DAV,12,-0.40287,0,12,1.0,No,-0.8333,large
DPMM-Base,scDAC,CAL,12,-30612.043403,0,12,1.0,No,-0.8333,large
