model,dataset,K_occ,SIR_1,SIR_5,H_occ,Gini,NFI,PCS
Pure-AE,setty,26,0.008888888888888889,0.07777777777777778,2.289989469174017,0.7116452121225235,0.31733333333333336,0.9375846639510398
Pure-AE,dentate,30,0.0022222222222222222,0.06444444444444444,3.0687349775311645,0.44432364054295104,0.3721481481481482,0.9739850800326655
Pure-AE,lung,26,0.013333333333333334,0.08888888888888889,2.0009169483630718,0.7800181092962072,0.37362962962962964,0.8459122957296764
Pure-AE,endo,28,0.007874015748031496,0.05774278215223097,2.938425831393414,0.5066813122530192,0.38757655293088367,0.9808685039971984
Pure-Trans-AE,setty,23,0.006666666666666667,0.06888888888888889,2.5536874773462412,0.6790178694179431,0.29185185185185186,0.9553324566827662
Pure-Trans-AE,dentate,29,0.006666666666666667,0.04888888888888889,3.0721339030324377,0.4493548232606507,0.33614814814814814,0.9807432458879491
Pure-Trans-AE,lung,27,0.013333333333333334,0.07555555555555556,2.1136318577205806,0.7551495538217354,0.3331851851851852,0.9238249332671533
Pure-Trans-AE,endo,30,0.010498687664041995,0.09186351706036745,2.8659243797568057,0.5537306690484188,0.357830271216098,0.9835133005693679
Pure-Contr-AE,setty,27,0.0044444444444444444,0.06,2.429375395721524,0.6680275316976095,0.33614814814814814,0.9395484593580643
Pure-Contr-AE,dentate,30,0.0022222222222222222,0.03777777777777778,3.01190241986766,0.4780009069884147,0.35703703703703704,0.97536356897901
Pure-Contr-AE,lung,25,0.0022222222222222222,0.11777777777777777,1.8235104305947294,0.7691737780366774,0.2906666666666667,0.8890603394190817
Pure-Contr-AE,endo,28,0.007874015748031496,0.08661417322834646,2.9422546434551857,0.5196183387046406,0.3909011373578303,0.9684735282951565
DPMM-Base,setty,13,0.0,0.017777777777777778,2.0096946340588127,0.8066212101716924,0.13081481481481483,0.9611627705366234
DPMM-Base,dentate,26,0.013333333333333334,0.08666666666666667,2.062416807294793,0.7665871520908675,0.1748148148148148,0.9865501365217056
DPMM-Base,lung,12,0.0022222222222222222,0.05333333333333334,1.1615225888239835,0.8822084715790148,0.1365925925925926,0.8639289391570394
DPMM-Base,endo,19,0.0026246719160104987,0.07086614173228346,1.6928009467440397,0.8041706255253157,0.1662292213473316,0.990197706442078
DPMM-Transformer,setty,22,0.008888888888888889,0.057777777777777775,2.0138402080808175,0.7769235227742527,0.2574814814814815,0.9482174968939139
DPMM-Transformer,dentate,30,0.006666666666666667,0.028888888888888888,3.1196957008587423,0.38790200918637197,0.35688888888888887,0.9842236980400595
DPMM-Transformer,lung,28,0.006666666666666667,0.06,2.630227771496726,0.635600836019181,0.3637037037037037,0.9465723321671653
DPMM-Transformer,endo,26,0.005249343832020997,0.03937007874015748,2.9730159363684914,0.5054561849422952,0.38127734033245847,0.9748499941174703
DPMM-Contrastive,setty,28,0.006666666666666667,0.022222222222222223,3.0702722787000454,0.4406996673432896,0.2906666666666667,0.9828843055712145
DPMM-Contrastive,dentate,29,0.0,0.07555555555555556,2.9283122965402386,0.5198310057830338,0.23451851851851852,0.9833585908808588
DPMM-Contrastive,lung,28,0.0022222222222222222,0.05333333333333334,2.982579244981421,0.4944042565170018,0.32237037037037036,0.9686227502315577
DPMM-Contrastive,endo,28,0.007874015748031496,0.09711286089238845,2.6773485850782683,0.6190509677068173,0.2566929133858268,0.9749036770363639
