dataset,model,method,time_s,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_overall_quality,DRE_tsne_overall_quality,checkpoint,history,latent
setty,Pure-AE,Pure-AE,52.77590203285217,0.6141047580935164,0.4531987893800946,0.17082089185714722,1.6137017493002173,57.209327697753906,0.9950800705559062,0.6003425390774769,0.6019794127539965,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/Pure-AE/Pure-AE_setty_20260316_114317.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/Pure-AE/Pure-AE_setty_20260316_114317_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/setty/Pure-AE_setty_20260316_114317.npz
setty,DPMM-Base,DPMM-Base,45.08701491355896,0.5837133915518514,0.35365165146898847,0.499130517244339,0.8138766640336099,1132.038330078125,5.661112920928197,0.7091632241519591,0.78510049222482,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-Base/DPMM-Base_setty_20260316_114317.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-Base/DPMM-Base_setty_20260316_114317_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/setty/DPMM-Base_setty_20260316_114317.npz
setty,DPMM-FM,DPMM-FM,47.20882844924927,0.5524752523629057,0.3579973715760186,0.3722571134567261,0.8717739437018384,2930.48974609375,8.380747360636944,0.7578662937579982,0.763906458463589,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-FM/DPMM-FM_setty_20260316_114317.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-FM/DPMM-FM_setty_20260316_114317_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/setty/DPMM-FM_setty_20260316_114317.npz
dentate,Pure-AE,Pure-AE,38.626869440078735,0.7260110413160559,0.5475468115616885,0.1865568310022354,1.4596477291756096,66.68309020996094,1.5564271646366965,0.6091016800915092,0.6148296706875048,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/Pure-AE/Pure-AE_dentate_20260316_114542.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/Pure-AE/Pure-AE_dentate_20260316_114542_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/dentate/Pure-AE_dentate_20260316_114542.npz
dentate,DPMM-Base,DPMM-Base,43.444708824157715,0.5543903572340879,0.2739281715768949,0.45150047540664673,1.0231699658305315,626.8016967773438,4.982344768301439,0.7228098408141624,0.7034080365964841,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-Base/DPMM-Base_dentate_20260316_114542.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-Base/DPMM-Base_dentate_20260316_114542_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/dentate/DPMM-Base_dentate_20260316_114542.npz
dentate,DPMM-FM,DPMM-FM,49.797144412994385,0.5849697912896963,0.342860044450646,0.3071700930595398,1.0158526496698337,1672.6561279296875,8.368656373694709,0.7230383991728931,0.7210131278169186,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-FM/DPMM-FM_dentate_20260316_114542.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-FM/DPMM-FM_dentate_20260316_114542_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/dentate/DPMM-FM_dentate_20260316_114542.npz
lung,Pure-AE,Pure-AE,40.07552886009216,0.5995916530994891,0.37183030357229296,0.13233517110347748,1.6576399156277033,45.69145202636719,1.0485587383241621,0.5440333634978877,0.5220934630001356,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/Pure-AE/Pure-AE_lung_20260316_114755.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/Pure-AE/Pure-AE_lung_20260316_114755_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/lung/Pure-AE_lung_20260316_114755.npz
lung,DPMM-Base,DPMM-Base,44.78214764595032,0.2959961831993347,0.13228975263720535,0.26111382246017456,0.9041819753029507,1052.0284423828125,8.409475297935401,0.6535422553090234,0.6923911492423126,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-Base/DPMM-Base_lung_20260316_114755.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-Base/DPMM-Base_lung_20260316_114755_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/lung/DPMM-Base_lung_20260316_114755.npz
lung,DPMM-FM,DPMM-FM,49.34811234474182,0.3933196352707422,0.1738086176983651,0.27932894229888916,0.6166967632339782,3591.89404296875,8.843080681494381,0.7145746206077072,0.668374987119066,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-FM/DPMM-FM_lung_20260316_114755.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/DPMM-FM/DPMM-FM_lung_20260316_114755_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/lung/DPMM-FM_lung_20260316_114755.npz
endo,Pure-AE,Pure-AE,32.809632539749146,0.6480251324658135,0.5438253207665201,0.19763271510601044,1.5901592701250666,78.92948150634766,1.6041297508587582,0.6564437756309519,0.6614561153328973,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/Pure-AE/Pure-AE_endo_20260316_115009.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/dpmm_fm_core/models/Pure-AE/Pure-AE_endo_20260316_115009_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/endo/Pure-AE_endo_20260316_115009.npz
