dataset,model,method,time_s,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_overall_quality,DRE_tsne_overall_quality,checkpoint,history,latent
setty,Pure-AE,Pure-AE,42.53622508049011,0.6141047580935164,0.4531987893800946,0.17082089185714722,1.6137017493002173,57.209327697753906,0.9950800705559062,0.6003425390774769,0.6019794127539965,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-AE/Pure-AE_setty_20260316_104529.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-AE/Pure-AE_setty_20260316_104529_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/setty/Pure-AE_setty_20260316_104529.npz
setty,Pure-Contrastive-AE,Pure-Contr-AE,64.16895246505737,0.6196070676455052,0.48289018975561143,0.13838405907154083,1.6986110610561664,56.771358489990234,1.170184942773477,0.6388259319564419,0.5980931338720594,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-Contrastive-AE/Pure-Contrastive-AE_setty_20260316_104529.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-Contrastive-AE/Pure-Contrastive-AE_setty_20260316_104529_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/setty/Pure-Contrastive-AE_setty_20260316_104529.npz
setty,DPMM-Base,DPMM-Base,44.41726326942444,0.5115851164127159,0.2999194478646134,0.30603668093681335,0.9937789813047024,1969.7569580078125,6.420760862148721,0.7923472215545667,0.8090000871643493,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/DPMM-Base/DPMM-Base_setty_20260316_104529.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/DPMM-Base/DPMM-Base_setty_20260316_104529_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/setty/DPMM-Base_setty_20260316_104529.npz
setty,DPMM-Contrastive,DPMM-Contr,114.34331703186035,0.48821852716700026,0.30549688030860156,0.25422030687332153,1.17432982971532,145.33767700195312,2.979774802977848,0.7304360432089768,0.7193762212937832,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/DPMM-Contrastive/DPMM-Contrastive_setty_20260316_104529.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/DPMM-Contrastive/DPMM-Contrastive_setty_20260316_104529_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/setty/DPMM-Contrastive_setty_20260316_104529.npz
dentate,Pure-AE,Pure-AE,39.6579384803772,0.7260110413160559,0.5475468115616885,0.1865568310022354,1.4596477291756096,66.68309020996094,1.5564271646366965,0.6091016800915092,0.6148296706875048,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-AE/Pure-AE_dentate_20260316_104955.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-AE/Pure-AE_dentate_20260316_104955_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/dentate/Pure-AE_dentate_20260316_104955.npz
dentate,Pure-Contrastive-AE,Pure-Contr-AE,85.58435726165771,0.6604767935702349,0.41393521063233335,0.16598114371299744,1.5476265121290296,72.53789520263672,2.3380763599483636,0.6319594005640305,0.6489105426809143,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-Contrastive-AE/Pure-Contrastive-AE_dentate_20260316_104955.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-Contrastive-AE/Pure-Contrastive-AE_dentate_20260316_104955_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/dentate/Pure-Contrastive-AE_dentate_20260316_104955.npz
dentate,DPMM-Base,DPMM-Base,47.48064637184143,0.666816341654695,0.4937873042239849,0.377014696598053,1.124117925579921,928.8604125976562,6.52559431408559,0.7670035309593635,0.7334802450546416,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/DPMM-Base/DPMM-Base_dentate_20260316_104955.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/DPMM-Base/DPMM-Base_dentate_20260316_104955_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/dentate/DPMM-Base_dentate_20260316_104955.npz
dentate,DPMM-Contrastive,DPMM-Contr,112.39605832099915,0.6014924315121571,0.36872303040060317,0.2847438454627991,1.1195967498551909,158.69825744628906,3.244193664567611,0.7148299903830515,0.713631840746561,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/DPMM-Contrastive/DPMM-Contrastive_dentate_20260316_104955.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/DPMM-Contrastive/DPMM-Contrastive_dentate_20260316_104955_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/dentate/DPMM-Contrastive_dentate_20260316_104955.npz
lung,Pure-AE,Pure-AE,42.99287176132202,0.5995916530994891,0.37183030357229296,0.13233517110347748,1.6576399156277033,45.69145202636719,1.0485587383241621,0.5440333634978877,0.5220934630001356,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-AE/Pure-AE_lung_20260316_105441.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-AE/Pure-AE_lung_20260316_105441_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/lung/Pure-AE_lung_20260316_105441.npz
lung,Pure-Contrastive-AE,Pure-Contr-AE,68.02063846588135,0.5344649810388522,0.3502224982557233,0.12944157421588898,1.623179646791962,43.53740310668945,1.3163232478082292,0.5550038027416851,0.5490687686657335,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-Contrastive-AE/Pure-Contrastive-AE_lung_20260316_105441.pt,/home/zeyufu/Desktop/PanODE-DPMM/experiments/results/moco_weight1_core/models/Pure-Contrastive-AE/Pure-Contrastive-AE_lung_20260316_105441_history.json,/home/zeyufu/Desktop/PanODE-DPMM/benchmarks/benchmark_results/crossdata/latents/lung/Pure-Contrastive-AE_lung_20260316_105441.npz
